,year,forcing_mean,forcing_std
0,1750.0,-0.6594259,0.497257
1,1751.0,-0.6895098,0.49806255
2,1752.0,-0.69878876,0.49853942
3,1753.0,-0.7093299,0.493128
4,1754.0,-0.7294325,0.4938871
5,1755.0,-1.4016906,0.4781728
6,1756.0,-0.73955363,0.49443582
7,1757.0,-0.73955363,0.49443582
8,1758.0,-0.73955363,0.49443582
9,1759.0,-0.8007006,0.49294958
10,1760.0,-0.86005265,0.49097547
11,1761.0,-1.8022969,0.47725382
12,1762.0,-0.9896244,0.4752007
13,1763.0,-0.7991292,0.4821565
14,1764.0,-0.7394437,0.4798223
15,1765.0,-0.7497425,0.48224849
16,1766.0,-0.7397611,0.4819603
17,1767.0,-0.7296399,0.48139188
18,1768.0,-0.6689128,0.4795569
19,1769.0,-0.6385493,0.47965804
20,1770.0,-0.6087455,0.4747125
21,1771.0,-0.6289879,0.47411868
22,1772.0,-0.70933574,0.4707197
23,1773.0,-0.68953735,0.4728914
24,1774.0,-0.67973363,0.47388074
25,1775.0,-0.7202183,0.4754451
26,1776.0,-0.7307595,0.47008416
27,1777.0,-0.7307595,0.47008416
28,1778.0,-0.74025905,0.46488866
29,1779.0,-0.7908649,0.46630147
30,1780.0,-0.7811878,0.4711195
31,1781.0,-0.761543,0.46602148
32,1782.0,-0.73117936,0.46421543
33,1783.0,-8.647131,1.406854
34,1784.0,-1.2732451,0.44967353
35,1785.0,-0.851772,0.45936814
36,1786.0,-0.71114206,0.4608839
37,1787.0,-0.67134374,0.45629817
38,1788.0,-0.7714834,0.44908443
39,1789.0,-0.74191904,0.45460537
40,1790.0,-0.732204,0.45762506
41,1791.0,-0.7221717,0.45812306
42,1792.0,-0.70206916,0.45714632
43,1793.0,-0.72287124,0.45303458
44,1794.0,-0.87326807,0.44504857
45,1795.0,-0.6724051,0.45007214
46,1796.0,-1.4549304,0.43338957
47,1797.0,-0.752753,0.44724423
48,1798.0,-0.70315087,0.44400197
49,1799.0,-0.69320726,0.4456593
50,1800.0,-0.68238366,0.44585118
51,1801.0,-0.7923845,0.43653914
52,1802.0,-0.67195827,0.44026825
53,1803.0,-0.6520711,0.44312766
54,1804.0,-0.8934457,0.42889392
55,1805.0,-0.7330675,0.43580887
56,1806.0,-0.67278445,0.4375807
57,1807.0,-0.672962,0.4400078
58,1808.0,-0.6830832,0.4408307
59,1809.0,-7.6360292,1.2381873
60,1810.0,-2.9309342,0.51041955
61,1811.0,-1.5163689,0.4182405
62,1812.0,-0.984653,0.42203143
63,1813.0,-0.7940692,0.4287573
64,1814.0,-0.6735918,0.4332366
65,1815.0,-12.351788,2.0754094
66,1816.0,-5.2487245,0.82975006
67,1817.0,-3.111828,0.52387255
68,1818.0,-1.6069719,0.41246873
69,1819.0,-1.0241119,0.41389078
70,1820.0,-0.73326176,0.42618528
71,1821.0,-0.7036734,0.42298797
72,1822.0,-0.7137945,0.4238532
73,1823.0,-0.7137945,0.4238532
74,1824.0,-0.7036734,0.42298797
75,1825.0,-0.69355226,0.4222068
76,1826.0,-0.6939722,0.41624764
77,1827.0,-0.6737298,0.4150862
78,1828.0,-0.6416671,0.41405126
79,1829.0,-0.6416671,0.41405126
80,1830.0,-0.6435061,0.41397873
81,1831.0,-2.1766303,0.42834783
82,1832.0,-1.8964103,0.40519258
