CMIP5 Model mean Tas (temperature atmosphere surface) values,,,,
for the different RCP scenarios,,,,
,,,,
Baseline: average over (1961 – 1990),,,,
Data source: http://climexp.knmi.nl/selectfield_cmip5.cgi,,,,
,,,,
year,rcp26,rcp45,rcp60,rcp85
1860,-0.378500555555604,-0.3627541666665479,-0.3539433333333477,-0.3476941666666562
1861,-0.3765505555555819,-0.3430291666665539,-0.3491516666666712,-0.32810249999999996
1862,-0.3701005555556094,-0.35677916666656984,-0.347759999999937,-0.337719166666659
1863,-0.37197555555553663,-0.36019583333325045,-0.36110166666662735,-0.34251083333333554
1864,-0.36280055555562285,-0.3522874999999317,-0.35280166666666446,-0.33440250000001015
1865,-0.35709222222226344,-0.3477041666665741,-0.348968333333346,-0.3304608333332908
1866,-0.3560838888889748,-0.34372083333323644,-0.338676666666629,-0.32971916666667767
1867,-0.3334088888889255,-0.31887916666659066,-0.3161766666665926,-0.3085525000000189
1868,-0.33132555555556564,-0.31171249999988504,-0.3070099999999343,-0.29724416666670095
1869,-0.30234222222219387,-0.2843458333332478,-0.26869333333331724,-0.27617750000001706
1870,-0.29545888888890204,-0.28985416666654373,-0.27307666666661135,-0.27465250000000196
1871,-0.30139222222220496,-0.2891124999999306,-0.27132666666670957,-0.27251083333334236
1872,-0.29940055555556455,-0.29460416666660194,-0.2748933333332957,-0.28180250000002616
1873,-0.268550555555521,-0.27127083333317614,-0.2367183333333287,-0.25407749999999396
1874,-0.2593338888888752,-0.26372083333325236,-0.23974333333330833,-0.2476524999999583
1875,-0.2600755555555452,-0.2655708333332427,-0.25092666666665764,-0.24992749999995567
1876,-0.30385888888883983,-0.290645833333258,-0.29037666666664563,-0.2764108333333297
1877,-0.28955888888890513,-0.29222916666657284,-0.2756183333332842,-0.27931916666670986
1878,-0.3040755555555279,-0.2983708333331947,-0.29115166666667847,-0.2893691666666882
1879,-0.2949422222222893,-0.2804374999998913,-0.26945999999998094,-0.2737608333333128
1880,-0.2783338888889375,-0.2776708333332749,-0.25489333333325703,-0.27456916666665165
1881,-0.2531088888889599,-0.25997083333322735,-0.2295766666666168,-0.2539691666666499
